'Zone','avg_seconds_between_pickups'
'Flatiron',203.88379630376887163
'Woodhaven',564.53313966480447305
'Parkchester',659.4947320058057727
'TriBeCa/Civic Center',156.6541929274965561
'Old Astoria',524.64724499713408789
'Inwood',485.05861571073083382
'Lincoln Square West',268.33229524703763324
'Meatpacking/West Village West',309.55589359026078888
'Bushwick North',245.66693116753794967
'Flushing Meadows-Corona Park',3704.6473659509562281
'Mount Hope',316.82491334206184241
'Norwood',404.07794575850441987
'Rosedale',1064.4269630728262487
'West Brighton',2438.6469225422811035
'Fresh Meadows',2207.7503321446050321
'East Harlem South',199.52140453963892241
'Douglaston',3558.7524088578352809
'Queens Village',695.23364228787807306
'Battery Park',12925.503175578774062
'Starrett City',1297.9875457273213257
'Sutton Place/Turtle Bay North',1328.0943843359687139
'Bay Ridge',356.15558863832448288
'Soundview/Bruckner',628.54567982325191266
'Woodside',449.15978721588478705
'Pelham Parkway',536.58010059302307936
'East New York/Pennsylvania Avenue',500.14460044821387185
'Prospect Park',3038.2462596815318356
'Highbridge',453.20701656189905648
'Homecrest',612.63952507057011231
'Williamsburg (South Side)',243.32506299073055622
'Heartland Village/Todt Hill',1914.0878617972420627
'East Flatbush/Farragut',362.55005051548763184
'East New York',148.67392875386348904
'Dyker Heights',1171.7234508348794985
'Coney Island',687.88546159543413338
'Morningside Heights',355.97503114062032381
'Saint George/New Brighton',798.7112235219727907
'Downtown Brooklyn/MetroTech',417.35722451676853239
'Greenpoint',257.66750709879562286
'Hunts Point',527.59209416167536232
'Mott Haven/Port Morris',274.99652977341209059
'Rossville/Woodrow',8202.7176256656719743
'East Harlem North',193.98700165857853505
'Elmhurst',256.47751490343226876
'Williamsburg (North Side)',1424.6728935286478545
'Bensonhurst West',547.47613103442303028
'Westchester Village/Unionport',4458.156003781909682
'Broad Channel',39688.871778755498098
'Erasmus',515.87922598773152671
'Manhattan Valley',366.12428405797099451
'Midtown Center',848.9452571587031926
'Springfield Gardens North',841.40405009325878182
'Arrochar/Fort Wadsworth',3447.1009224387318958
'South Beach/Dongan Hills',2349.1085031989284992
'Crown Heights South',454.86631039151852462
'Jamaica Estates',1242.5491766187262143
'Canarsie',213.40145223308710775
'Eastchester',610.44061047157871513
'Hamilton Heights',2261.5219572708480377
'Williamsbridge/Olinville',342.81798196809405432
'DUMBO/Vinegar Hill',578.22019079356934412
'North Corona',734.48256131740841112
'Financial District South',803.53971424572829818
'Prospect-Lefferts Gardens',216.151646862337099
'SoHo',293.41470383275257916
'Two Bridges/Seward Park',370.71455152699757107
'West Farms/Bronx River',621.11367570119195846
'Oakwood',5768.7096273291924575
'Chinatown',813.73227768186158215
'Ozone Park',1178.5448692828752736
'Belmont',573.853351384257504
'Kingsbridge Heights',598.43065596604096967
'Fort Greene',277.65095484279385118
